producto,categoria,cantidad,precio,fecha
Lego City,Construcción,5,349.9,01/08/2026
Muñeca Barbie,Muñecas,8,249.5,02/08/2026
Hot Wheels,Autos,12,89.9,03/08/2026
Pelota de fútbol,Deportes,6,159.9,01/08/2026
Rompecabezas 500 piezas,Rompecabezas,10,129.9,04/08/2026
Avión de juguete,Vehículos,4,199.9,05/08/2026
Oso de peluche,Peluches,7,179.5,06/08/2026
Juego de cocina,Juegos de rol,3,299.9,07/08/2026
Pistola de agua,Juegos al aire libre,9,79.9,08/08/2026
Tren eléctrico,Vehículos,2,499.9,09/08/2026
Set de plastilina,Manualidades,11,119.9,10/08/2026
Robot de juguete,Robots,5,329.9,11/08/2026
Casa de muñecas,Muñecas,3,599.9,12/08/2026
Camión de construcción,Vehículos,6,219.9,13/08/2026
Juego de ajedrez,Juegos de mesa,4,189.9,14/08/2026
Muñeca bebé,Muñecas,0,199.9,15/08/2026
Camión rojo,Vehículos,5,0,16/08/2026
Juego de cartas,Juegos de mesa,-2,89.9,17/08/2026
Robot azul,Robots,3,-50,18/08/2026
Lego Friends,Construcción,7,299.9,19/08/2026
Barbie princesa,Muñecas,4,279.9,20/08/2026
Hot Wheels pista,Autos,6,349.9,21/08/2026
Peluche dinosaurio,Peluches,9,159.9,22/08/2026
Rompecabezas 1000 piezas,Rompecabezas,5,199.9,23/08/2026
Monopoly,Juegos de mesa,3,399.9,24/08/2026
Nerf lanzador,Juegos de acción,8,449.9,25/08/2026
Cocina de juguete,Juegos de rol,2,699.9,26/08/2026
Set de dinosaurios,Figuras,10,229.9,27/08/2026
Camión de bomberos,Vehiculos,4,319.9,28/08/2026
Kit de doctor,Juegos de rol,6,189.9,29/08/2026
Muñeca bebé,Muñecas,5,249.9,30/08/2026
Set de bloques,Construcción,12,149.9,31/08/2026
Guitarra de juguete,Instrumentos,3,299.9,01/09/2026
Pista de carreras,Autos,2,549.9,02/09/2026
Juego de memoria,Juegos de mesa,7,129.9,03/09/2026
Robot transformable,Robots,4,389.9,04/09/2026
Avión militar,Vehículos,5,219.9,05/09/2026
Set de pintura,Manualidades,8,99.9,06/09/2026
Casa de muñecas,Muñecas,2,799.9,07/09/2026
Pelota gigante,Deportes,0,199.9,08/09/2026
Muñeca clásica,Muñecas,-3,249.9,09/09/2026
Robot pequeño,Robots,5,0,10/09/2026
Camión azul,Vehículos,4,-120,11/09/2026
Lego castillo,Construcción,-2,499.9,12/09/2026
Oso de peluche,Peluches,6,-80.5,13/09/2026
Juego de cartas,Juegos de mesa,0,99.9,14/09/2026
Avión de juguete,Vehículos,-5,159.9,15/09/2026
Set de cocina,Juegos de rol,3,0,16/09/2026
Dinosaurio gigante,Figuras,-1,-200,17/09/2026
Hot Wheels,Autos,12,89.9,03/08/2026
Play-Doh,Manualidades,6,129.5,04/08/2026
Lego Friends,Construccion,4,499.9,05/08/2026
Pista de Carreras,Autos,3,799,06/08/2026
Muñeca Frozen,Muñecas,7,299.9,07/08/2026
Rompecabezas 500 piezas,Juegos,10,159.5,08/08/2026
Pelota de Futbol,Deportes,15,199.9,09/08/2026
Avion de Juguete,Aviones,5,179,10/08/2026
Lego Technic,Construccion,2,899.9,11/08/2026
Juego de Tao,Imitacion,9,149.5,12/08/2026
Osito de Peluche,Peluches,11,229.9,13/08/2026
Monopoly,Juegos,6,399,14/08/2026
Barco Pirata,Construccion,4,599.9,15/08/2026
Cocina Infantil,Imitacion,3,1299,16/08/2026
Pistola de Agua,Exterior,20,79.9,17/08/2026
Set de Dinosaurios,Figuras,8,259.5,18/08/2026
Muñeca Princesa,Muñecas,5,349.9,19/08/2026
Carrito de Control Remoto,Electronicos,4,699.9,20/08/2026
Bloques de Construccion,Construccion,13,219.9,21/08/2026
Kit de Pintura,Manualidades,7,189,22/08/2026
Triciclo,Exterior,2,1499.9,23/08/2026
Juego de Memoria,Juegos,9,129.9,24/08/2026
Robot Interactivo,Electronicos,3,899,25/08/2026
Set de Cocina,Imitacion,6,329.5,26/08/2026
Pelota de Basquetbol,Deportes,10,249.9,27/08/2026
Lego Classic,Construccion,5,599.9,28/08/2026
Muñeca Bebe,Muñecas,8,279,29/08/2026
Camion de Bomberos,Autos,4,429.9,30/08/2026
Peluche de Unicornio,Peluches,7,319.5,31/08/2026
Ajedrez,Juegos,3,299.9,01/09/2026
Patines,Deportes,5,749,02/09/2026
Set de Animales,Figuras,12,169.9,03/09/2026
Dron Infantil,Electronicos,2,1199,04/09/2026
Casa de Muñecas,Muñecas,1,1899.9,05/09/2026
Lego Ninjago,Construccion,6,649.5,06/09/2026
Caja de Plastilina,Manualidades,15,99.9,07/09/2026
Tren de Juguete,Construccion,4,529.9,08/09/2026
Canasta Infantil,Deportes,8,349,09/09/2026
Superheroe Marvel,Figuras,9,289.9,10/09/2026
Juego de Pesca,Juegos,6,179.5,11/09/2026
Rompecabezas 1000 piezas,Juegos,3,299.9,12/09/2026
Muñeca Barbie,Muñecas,,249.5,13/09/2026
Lego City,Construccion,5,,14/09/2026
,,7,199.9,15/09/2026
Hot Wheels,Autos,,89.9,
,Manualidades,6,129.5,17/09/2026
Play-Doh,,4,159.9,18/09/2026
,,,-,19/09/2026
Lego Friends,Construccion,-2,499.9,20/09/2026
Muñeca Frozen,Muñecas,999,299.9,21/09/2026
